route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
733ca29f-5e68-4d19-913d-2d9adf975912,9b0f9c54-95d2-4b66-a586-274ea116e64f,1709-21,Jd. Joamar - Metrô Tucuruvi,,3,002F6C,FFFFFF
c3788d1a-d270-4fb3-8adf-77969e41a02b,9b0f9c54-95d2-4b66-a586-274ea116e64f,6002-10,Cid. Dutra - Hosp. Pedreira,,3,0082BA,FFFFFF
721c6bd7-b876-4213-ac56-307e4655a101,9b0f9c54-95d2-4b66-a586-274ea116e64f,6804-10,Jd. Ingá - Term. João Dias,,3,782F40,FFFFFF
51ba6ef2-9723-447c-9280-6edc2e98afb1,9b0f9c54-95d2-4b66-a586-274ea116e64f,746K-10,Paraisópolis - Campo Belo,,3,FF671F,000000
6f31c466-a44e-43e7-8989-643611fbf7ac,9b0f9c54-95d2-4b66-a586-274ea116e64f,4051-10,Jd. São Paulo - Cptm Guaianazes,,3,FFD100,000000
bcab2b16-6d26-4102-9096-18677cc6479a,9b0f9c54-95d2-4b66-a586-274ea116e64f,5391-22,Moema - Jd. âNgela,,3,782F40,FFFFFF
de644f05-91a7-490a-8890-3c2de0304fdd,9b0f9c54-95d2-4b66-a586-274ea116e64f,7267-10,Apiacás - Pça. Ramos De Azevedo,,3,FF671F,000000
604c350a-ceef-4a61-b703-38a1f4e1953e,9b0f9c54-95d2-4b66-a586-274ea116e64f,6820-10,Jd. Das Rosas - Term. Capelinha,,3,782F40,FFFFFF
d0647eae-21c3-4c9c-9890-106d89071ff4,9b0f9c54-95d2-4b66-a586-274ea116e64f,8007-10,Hab. Turística - Term. Pirituba,,3,509E2F,FFFFFF
c63efdce-2793-45bc-8838-e6d91a9f5924,9b0f9c54-95d2-4b66-a586-274ea116e64f,809V-10,Vl. Gomes - Metrô - Trianon - Masp,,3,FF671F,000000
3cd2728c-a592-4c53-b5be-f046b5a0d26f,9b0f9c54-95d2-4b66-a586-274ea116e64f,6805-10,Term. Capelinha - Term. João Dias,,3,782F40,FFFFFF
64948920-b8c8-49d2-a63e-502f54c5cf51,9b0f9c54-95d2-4b66-a586-274ea116e64f,N343-11,Term. A. E. Carvalho - Metrô Itaquera,,3,FFD100,000000
caed9f32-75c7-447d-a30f-52bdb98b3673,9b0f9c54-95d2-4b66-a586-274ea116e64f,909T-1,Term. Pinheiros - Term. Pq. D. Pedro Ii,,3,FF671F,000000
c4da49cd-b725-4cce-b83c-57770031a4e4,9b0f9c54-95d2-4b66-a586-274ea116e64f,METRÔ L1,TUCURUVI - JABAQUARA,,1,0455A1,FFFFFF
8e0d16a7-76dc-4c3d-856b-eaa60e1b36b4,9b0f9c54-95d2-4b66-a586-274ea116e64f,709G-10,Term. Guarapiranga - Itaim Bibi,,3,782F40,FFFFFF
f40e407e-2613-4858-ac19-4fd33cfaedb5,9b0f9c54-95d2-4b66-a586-274ea116e64f,2029-10,Jd. Fontális - Metrô Tucuruvi,,3,002F6C,FFFFFF
52240cf4-182e-4801-8ec4-581c63be52d9,9b0f9c54-95d2-4b66-a586-274ea116e64f,2201-10,Div. De Ferraz - Cptm Guaianazes,,3,FFD100,000000
8a769e98-89cb-4de7-ba51-3ebe23f082a5,9b0f9c54-95d2-4b66-a586-274ea116e64f,637P-10,Term. Sto. Amaro - Term. Pinheiros,,3,782F40,FFFFFF
fa96655c-9be9-40b4-adf9-41e4bd9d78a4,9b0f9c54-95d2-4b66-a586-274ea116e64f,8009-10,Cid. D'abril 3ª Gleba - Term. Pirituba,,3,509E2F,FFFFFF
de985238-15e6-46c0-81c0-d2687cd6d733,9b0f9c54-95d2-4b66-a586-274ea116e64f,5031-21,Vl. Cde. Do Pinhal - Term. Sacomã,,3,006341,FFFFFF
348358c8-408b-453b-aecd-45c4364e34ec,9b0f9c54-95d2-4b66-a586-274ea116e64f,9050-10,Term. Lapa - Itaim Bibi,,3,FF671F,000000
e926a483-028f-44d3-8133-0f03de14d66d,9b0f9c54-95d2-4b66-a586-274ea116e64f,809U-10,Cid. Universitária - Metrô Barra Funda,,3,FF671F,000000
1edd0fc6-dcd5-4174-97cc-865ab07ba86a,9b0f9c54-95d2-4b66-a586-274ea116e64f,N236-11,Metrô Santana - Jd. Antártica,,3,002F6C,FFFFFF
9e1d770a-d9af-4b3d-aac0-460d5ec7525e,9b0f9c54-95d2-4b66-a586-274ea116e64f,6L05-10,Barragem - Term. Parelheiros,,3,0082BA,FFFFFF
736971f1-2a44-4305-80da-31d52ecc4eaf,9b0f9c54-95d2-4b66-a586-274ea116e64f,1036-10,Cohab Brasilândia - Conexão Vl. Iório,,3,509E2F,FFFFFF
d525b28b-b522-4999-affb-a49883db43d0,9b0f9c54-95d2-4b66-a586-274ea116e64f,2730-10,Vl. Jacui - Metrô Artur Alvim,,3,FFD100,000000
416730b5-15af-46e1-806e-d7e4d033e252,9b0f9c54-95d2-4b66-a586-274ea116e64f,5752-10,Vl. Missionária - Metrô Conceição,,3,0082BA,FFFFFF
cb601320-79a8-49f2-b5e7-00060d6fe8cb,9b0f9c54-95d2-4b66-a586-274ea116e64f,3008-10,Jd. Miriam - Cptm Itaim Paulista,,3,FFD100,000000
ccef2ef7-563c-488b-b3c6-f1e35a5da6b7,9b0f9c54-95d2-4b66-a586-274ea116e64f,1788-51,Jd. Campo Limpo - Metrô Santana,,3,002F6C,FFFFFF
6722cd2e-4e29-4325-be25-34e231bc5831,9b0f9c54-95d2-4b66-a586-274ea116e64f,2765-10,Vl. Cisper - Metrô Tatuapé,,3,FFD100,000000
c4f23f5b-86aa-4dcf-a933-a64bffe9d1ce,9b0f9c54-95d2-4b66-a586-274ea116e64f,6418-10,Real Pq. - Brooklin Novo,,3,FF671F,000000
6f6255f8-ac54-4876-be76-3c9227b38954,9b0f9c54-95d2-4b66-a586-274ea116e64f,1787-10,Vl. Marieta - Metrô Santana,,3,002F6C,FFFFFF
72254cf3-2319-4485-a367-f97f78db0cea,9b0f9c54-95d2-4b66-a586-274ea116e64f,N745-11,Term. Capelinha - Term. Campo Limpo,,3,782F40,FFFFFF
c39f5c40-494a-4125-929f-a8610f2b3b04,9b0f9c54-95d2-4b66-a586-274ea116e64f,5362-21,Grajaú - Pça. Da Sé,,3,0082BA,FFFFFF
6d8314e4-5dc7-46ea-af9a-f0c3c2fa7b7d,9b0f9c54-95d2-4b66-a586-274ea116e64f,971M-10,Vl. Penteado - Metrô Santana,,3,002F6C,FFFFFF
8a9ae9d1-b9ba-4bd4-a294-c8d0056da0cc,9b0f9c54-95d2-4b66-a586-274ea116e64f,6031-10,Jd. São Bernardo - Term. Grajaú,,3,0082BA,FFFFFF
97ed81eb-24f9-488a-a452-f12f9bdd01ef,9b0f9c54-95d2-4b66-a586-274ea116e64f,2100-10,Term. Vl. Carrão - Pça. Da Sé,,3,DA291C,FFFFFF
65d8cd8c-a179-4785-97ef-3f67e51968ee,9b0f9c54-95d2-4b66-a586-274ea116e64f,5362-23,Pq. Res. Cocaia - Vicente Rao,,3,0082BA,FFFFFF
b00bd47c-0abf-4ce3-a079-3172a1e3a31b,9b0f9c54-95d2-4b66-a586-274ea116e64f,707A-10,Jd. âNgela - Metrô Pça. Da áRvore,,3,782F40,FFFFFF
7f63d940-8ba4-494d-85b5-2a8b2672caed,9b0f9c54-95d2-4b66-a586-274ea116e64f,278A-10,Metrô Santana - Penha  ,,3,002F6C,FFFFFF
86268eb0-ae43-4159-ae15-3b87505135e9,9b0f9c54-95d2-4b66-a586-274ea116e64f,373M-10,Jd. Guairacá - Shop. Metrô Tatuapé,,3,006341,FFFFFF
3d5b50cc-c481-427e-a908-de4068895bdb,9b0f9c54-95d2-4b66-a586-274ea116e64f,7002-10,Jd. Rosa Maria - Hosp. Das Clínicas,,3,FF671F,000000
749066ac-3ea5-4f2c-a548-2c0e4c050323,9b0f9c54-95d2-4b66-a586-274ea116e64f,1020-10,Perus - Conexão Vl. Iório ,,3,509E2F,FFFFFF
a4be58c9-c1f1-4982-82a1-cea3d3568d4c,9b0f9c54-95d2-4b66-a586-274ea116e64f,9011-10,Cptm Jaraguá - Term. Cachoeirinha,,3,509E2F,FFFFFF
c8607729-09d4-4348-a0ac-35ad3157d234,9b0f9c54-95d2-4b66-a586-274ea116e64f,342C-10,Jd. Marília - Penha,,3,DA291C,FFFFFF
